,num_people,generic_name,event_type,event_location,manufacturer
4351,1,"HUMIDIFIER, RESPIRATORY GAS, (DIRECT PATIENT INTERFACE)",Malfunction,HOSPITAL,FISHER & PAYKEL
4352,1,INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE CORP
4353,1,OYC,Malfunction,I,"DEXCOM, INC."
4354,1,"HEART-LUNG MACHINE, CONSOLE",Other,,SORIN GROUP DEUTSCHLAND
4355,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC PUERTO RICO OPERATIONS CO.
4356,1,ENDOSCOPE AND/OR ACCESSORIES,Malfunction,,STRYKER ENDOSCOPY-SAN JOSE
4358,1,DIALYSIS CATHETER,Malfunction,,COSTA RICA
4359,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
4361,1,"COUNTER, DIFFERENTIAL CELL",Malfunction,,BECKMAN COULTER
4363,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER",Injury,,MPRI
4364,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,MEDTRONIC MINIMED
4371,1,,Malfunction,,PHILIPS MEDICAL SYSTEMS
4372,1,DRUG ELUTING CORONARY STENT SYSTEM,Malfunction,,AV-TEMECULA-CT
4375,1,"STIMULATOR, SPINAL-CORD, TOTALLY IMPLANTED FOR PAIN RELIEF",Malfunction,,MEDTRONIC MED REL MEDTRONIC PUERTO RICO
4377,1,"LAPAROSCOPE, GENERAL AND PLASTIC SURGERY",Malfunction,,"ETHICON ENDO-SURGERY, LLC."
4380,1,IMPLANTABLE PACEMAKER PULSE GENERATOR,Malfunction,HOSPITAL,"ST. JUDE MEDICAL, INC. CRMD"
4381,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER HEALTHCARE
4382,1,ENDOSCOPIC VESSEL HARVESTING,Malfunction,,"MAQUET CARDIOVASCULAR, LLC"
4386,1,ELECTROSURGICAL PENCIL,Malfunction,,CONMED ELECTROSURGERY
4388,1,DISPOSABLE USED DURING LEN INSERTION,Injury,UNKNOWN,"ALCON INDUSTRIES, INC."
4390,1,BLOOD GLUCOSE METER,Malfunction,,ABBOTT DIABETES CARE LIMITED UK
4391,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC MINIMED
4393,1,"PLATE, FIXATION, BONE",Injury,,SYNTHES (USA)
4394,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
4395,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER HEALTHCARE - MOUNTAIN HOME
4396,1,IMPLANTABLE PULSE GENERATOR,Malfunction,,GUIDANT CRM CLONMEL IRELAND
4399,1,INSULIN INFUSION PUMP,Injury,OTHER,DISETRONIC MEDICAL SYSTEMS
4400,1,FLUOROSCOPIC X-RAY,Malfunction,,GE OEC MEDICAL SYSTEMS GMBH
4401,1,AC POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,HILL-ROM RITTER
4404,1,"MOTOR, DRILL, ELECTRIC - HANDPIECE",Malfunction,,DEPUY SYNTHES POWER TOOLS
4405,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,ABBOTT DIABETES CARE INC.
4406,1,,Malfunction,,SYNTHES MONUMENT
4407,1,RADIOLOGICAL IMAGE PROCESSING,Malfunction,,GE OEC MEDICAL SYSTEMS (SLC)
4408,1,DQY,Malfunction,,"PENUMBRA, INC."
4409,1,,Malfunction,,MEDTRONIC IRELAND
4410,1,"STRETCHER, WHEELED",Malfunction,,STRYKER MEDICAL-KALAMAZOO
4411,1,INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE CORPORATION
4412,1,IMPLANTABLE PULSE GENERATOR,Injury,HOSPITAL,MEDTRONIC S.A.
4413,1,ULTRASONIC PULSED ECHO IMAGING SYSTEM,Malfunction,,ALCON - IRVINE TECHNOLOGY CENTER
4414,1,INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE CORP
4415,1,IMPLANTABLE PACEMAKER PULSE GENERATOR,Injury,HOSPITAL,ST JUDE MEDICAL AB
4417,1,INFLATABLE PENILE PROSTH,Injury,,MENTOR CORP. - MINNESOTA DIVISION
4418,1,OZO,Malfunction,,MEDTRONIC MINIMED
4420,1,ELECTROSURGICAL INSTRUMENT ACCESSORY,Malfunction,HOSPITAL,"INTUITIVE SURGICAL,INC."
4421,1,WHEELED STRETCHER,Malfunction,,HILL-ROM RITTER
4422,1,880.5100,Malfunction,,CARROLL HEALTHCARE
4423,1,AUTOMATED EXTERNAL DEFIBRILLATOR,No answer provided,,"HEARTSINE TECHNOLOGIES, LTD"
4424,1,IMPLANTABLE PULSE GENERATOR,Injury,HOSPITAL,CARDIAC PACEMAKERS
4425,1,"STEM, LINEAR, SIZE 9",Malfunction,,"ENCORE MEDICAL, L.P."
4427,1,"INSTRUMENT, SURGICAL, ORTHOPEDIC, AC-POWERED MOTOR AND ACCESSORY/ATTACHMENT",Malfunction,,STRYKER INSTRUMENTS-KALAMAZOO
4429,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC MINIMED
4430,1,"CONSOLE, HEART-LUNG MACHINE, CARDIOPULMONARY BYPASS",Malfunction,,SORIN GROUP DEUTSCHLAND
4431,1,INFUSION PUMP,Malfunction,,MEDTRONIC MINIMED
4433,1,"INSTRUMENT, ULTRASONIC SURGICAL",Malfunction,NO INFORMATION,"ETHICON ENDO-SURGERY, LLC."
4434,1,STRETCHER MATTRESS. SW ENVY NP GURNEYL STRETCHER PAD,Injury,NO INFORMATION,SIZEWISE
4436,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORP.
4437,1,NONE,Malfunction,,"FISHER & PAYKEL HEALTHCARE, LTD."
4438,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC MINIMED
4439,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
4440,1,BLOOD GLUCOSE MONITORING DEVICE-NBW,Malfunction,HOSPITAL,ROCHE DIAGNOSTICS
4441,1,"WHEELCHAIR, MECHANICAL",Malfunction,,INVACARE TAYLOR STREET
4442,1,INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE CORP.
4445,1,PERMANENT PACEMAKER ELECTRODE,Malfunction,,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
4446,1,MDS,Malfunction,I,"DEXCOM, INC."
4447,1,OZO,Malfunction,I,
4449,1,AC-POWERED ADJUSTABLE HOSPITAL BED,Malfunction,,"HILL-ROM, INC."
4451,1,MRM-IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Injury,HOSPITAL,ELA MEDICAL
4452,1,"NIQ - STENT, CORONARY, DRUG-ELUTING",Malfunction,,BOSTON SCIENTIFIC CORPORATION
4454,1,"SYSTEM, ENDOVASCULAR GRAFT, AORTIC ANEURYSM TREATMENT",Malfunction,,MEDTRONIC IRELAND
4456,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER HEALTHCARE - LARGO
4458,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER HEALTHCARE - LARGO
4459,1,"GENERATOR, OXYGEN, PORTABLE",Malfunction,,INVACARE FLORIDA OPERATIONS
4460,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER HEALTHCARE - LARGO
4461,1,LANCET DEVICE,Malfunction,U,ROCHE DIAGNOSTICS
4463,1,"NIM STENT, CAROTID",Malfunction,,BOSTON SCIENTIFIC
4466,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORPORATION
4470,1,IMPLANTABLE PACING LEAD,Injury,HOSPITAL,"MEDTRONIC PUERTO RICO, INC."
4472,1,IMPLANTABLE ATRIAL GENERATOR,Malfunction,OTHER,"CARDIAC PACEMAKERS, INC"
4473,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,MEDTRONIC PUERTO RICO OPERATIONS CO.
4474,1,SYSTEM 1000,Malfunction,,BAXTER HEALTHCARE CORPORATION
4475,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC PUERTO RICO OPERATIONS CO.
4476,1,GLUCOSE MONITORING SYS/KIT,Malfunction,I,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
4478,1,890.3825,No answer provided,,GENTEEL HOMECARE PRODUCTS
4479,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORP.
4481,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORPORATION
4482,1,PROTHROMBIN TIME TEST,Malfunction,,"ALERE SAN DIEGO, INC"
4483,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,MEDTRONIC PUERTO RICO OPERATIONS CO.
4485,1,IMPLANTABLE LEAD,Injury,HOSPITAL,CPI - DEL CARIBE
4486,1,ARTHROSCOPY CANNULA,Malfunction,,CONMED LINVATEC
4487,1,LANCET DEVICE,Malfunction,OTHER,ROCHE DIAGNOSTICS
4488,1,LINEAR CUTTERS-ENDOSCOPIC,Malfunction,NOT APPLICABLE,ETHICON ENDO-SURGERY
4489,1,SUTURE ANCHOR,Malfunction,,LINVATEC CORP.
4490,1,"COUNTER, DIFFERENTIAL CELL",Malfunction,,"BECKMAN COULTER, INC."
4491,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORPORATION
4492,1,890.5100,Malfunction,,INVACARE CLEVELAND STREET
4493,1,ENDOSCOPIC INSTRUMENT,Malfunction,HOSPITAL,"INTUITIVE SURGICAL,INC."
4494,1,AED,Malfunction,I,PHILIPS MEDICAL SYSTEMS
4495,1,MDS,Malfunction,,"DEXCOM, INC."
4496,1,868.5440,Malfunction,,INVACARE FLORIDA OPERATIONS
4497,1,IMPLANTABLE PULSE GENERATOR,Malfunction,,GUIDANT CRM CLONMEL IRELAND
4498,1,,Malfunction,I,"BARD PERIPHERAL VASCULAR, INC."
4499,1,IMPLANTABLE PACEMAKER PULSE GENERATOR,Malfunction,,"ST. JUDE MEDICAL, INC., CRMD"
4500,1,PTCA CATHETER,Malfunction,,BOSTON SCIENTIFIC
4501,1,IMPLANTABLE LEAD,Injury,,CPI - DEL CARIBE
4502,1,"GENERATOR, LESION, RADIOFREQUENCY",Malfunction,,STRYKER INSTRUMENTS-KALAMAZOO
4503,1,"INSTRUMENT, SURGICAL, ORTHOPEDIC, AC-POWERED, MOTOR/ACCESS AND ATTACHMENT",Malfunction,I,DEPUY SYNTHES POWER TOOLS
4505,1,CORONARY DILATATION CATHETER,Malfunction,,AV-TEMECULA-CT
4511,1,PACEMAKER LEAD,Malfunction,,SULZER INTERMEDICS INC.
4513,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER HEALTHCARE - MOUNTAIN HOME
4514,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,"ABBOTT DIABETES CARE INC, USA"
4515,1,DEVICE FOR TREATMENT OF MORBID OBESITY,Malfunction,,BIOENTERICS CORPORATION
4516,1,"PUMP, INFUSION",Malfunction,,BAXTER HEALTHCARE - SINGAPORE
4518,1,FOR THE DETERMINATION OF BETA-HUMAN CHORIONIC GONADOTROPIN,Malfunction,,ABBOTT LABORATORIES
4519,1,OZO,Malfunction,I,MEDTRONIC PUERTO RICO OPERATIONS CO.
4521,1,PORTABLE VENTILATOR,Malfunction,OTHER,PURITAN-BENNETT CORP.
4524,1,AED,Malfunction,I,PHILIPS MEDICAL SYSTEMS
4526,1,,Malfunction,OTHER,"ETHICON ENDO-SURGERY, LLC."
4527,1,INTRADISCAL CATHETER,Malfunction,,SMITH & NEPHEW INC.
4528,1,ULTRASONIC-SURGERY DEVICES - REUSAB,No answer provided,NOT APPLICABLE,ETHICON ENDO-SURGERY
4529,1,SKIN STAPLER,Malfunction,,TELEFLEX MEDICAL
4531,1,OZO,Malfunction,NO INFORMATION,MEDTRONIC MINIMED
4533,1,MDS,Malfunction,,"DEXCOM, INC"
4534,1,INSTRUMENT,Malfunction,,STRYKER ORTHOPAEDICS-MAHWAH
4536,1,MDS,Malfunction,,"DEXCOM, INC."
4537,1,BLOOD GLUCOSE MONITORING TEST STRIPS-LFR,Malfunction,HOSPITAL,ROCHE DIAGNOSTICS
4539,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER HEALTHCARE - LARGO
4540,1,INFUSION PUMP,Malfunction,,MEDTRONIC PUERTO RICO OPERATIONS MED-REL
4542,1,INFUSION PUMP,Injury,,MEDTRONIC MINIMED
4543,1,BLOOD GLUCOSE MONITORING TEST STRIPS - LFR,Malfunction,HOSPITAL,ROCHE DIAGNOSTICS
4544,1,BZE,Malfunction,,FISHER & PAYKEL HEALTHCARE LIMITED
4545,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,
4547,1,"STENT, CORONARY, DRUG-ELUTING",Malfunction,,MEDTRONIC IRELAND
4548,1,GLUCOSE MONITORING SYS/KIT,Malfunction,NOT APPLICABLE,"LIFESCAN, INC."
4550,1,"CATHETER, CORONARY, ATHERECTOMY",Injury,,BOSTON SCIENTIFIC - MIAMI
4551,1,MDS,Malfunction,I,"DEXCOM, INC."
4553,1,,Malfunction,OTHER,"ETHICON ENDO-SURGERY, LLC"
4554,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC PUERTO RICO OPERATIONS CO.
4555,1,ORTHOPAEDIC INSTRUMENTATION,Malfunction,,DEPUY WARSAW
4556,1,890.3100,No answer provided,,"JIANGSU YUYUE MEDICAL EQUIPMENT & SUPPLY CO., LTD"
4557,1,INSULIN PUMP,Malfunction,,TANDEM DIABETES CARE INC.
4558,1,CIRCULATORY ASSIST SYSTEM,Injury,I,"HEARTWARE, INC"
4559,1,INFUSION PUMP,Malfunction,,BAXTER HLTHCARE CORP
4560,1,DEFIBRILLATION LEAD,Injury,HOSPITAL,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
4561,1,INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE CORP
4563,1,MISC ORTHO SURGICAL INSTR,Malfunction,I,SYNTHES TUTTLINGEN
4567,1,"STIMULATOR, SPINAL-CORD, TOTALLY IMPLANTED FOR PAIN RELIEF",Injury,,MEDTRONIC MED REL MEDTRONIC PUERTO RICO
4568,1,IMMUNOCHEMISTRY ANALYZER,Malfunction,LABORATORY,ROCHE DIAGNOSTICS
4569,1,"GENERATOR, OXYGEN, PORTABLE",Malfunction,,INVACARE FLORIDA OPERATIONS
4570,1,INSULIN INFUSION PUMP,Malfunction,,MEDTRONIC PUERTO RICO OPERATIONS CO.
4571,1,OSTEOTOME,Injury,,V. MUELLER
4572,1,GFA,Malfunction,,TERUMO CARDIOVASCULAR SYSTEMS CORP.
4573,1,SUPRAPUBIC CATHETER,Injury,HOSPITAL,BARD UROLOGIC DIV.
4574,1,"DEFIBRILLATORS, AUTOMATIC, EXTERNAL",Malfunction,HOSPITAL,"PHYSIO-CONTROL, INC"
4575,1,890.3825,No answer provided,,CONSMA
4576,1,MDS,Malfunction,,"DEXCOM, INC."
4577,1,,Malfunction,OTHER,ROCHE INSULIN DELIVERY SYSTEMS INC.
4578,1,INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE CORP
4580,1,INSULIN PUMP CARTRIDGE,Malfunction,,ANIMAS CORPORATION
4581,1,"PUMP, INFUSION",Malfunction,,BAXTER HEALTHCARE - SINGAPORE
4582,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,GUIDANT CRM CLONMEL IRELAND
4583,1,"INSTRUMENT, ULTRASONIC SURGICAL",Malfunction,,"ETHICON ENDO-SURGERY, LLC."
4584,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC PUERTO RICO OPERATIONS CO.
4586,1,VASCULAR PROSTHESIS,Injury,HOSPITAL,SULZER VASCUTEK LTD.
4588,1,MDS,Malfunction,I,"DEXCOM, INC."
4589,1,890.3850,Malfunction,,INVACARE TAYLOR STREET
4590,1,IVD,Malfunction,,ABBOTT POINT OF CARE INC.
4591,1,PERMANENT PACEMAKER ELECTRODE,Injury,I,"ST. JUDE MEDICAL, INC.(CRM-SYLMAR)"
4592,1,,Malfunction,,"WELCH ALLYN PROTOCOL, INC."
4594,1,DISPOSABLE ENDOSCOPIC TROCAR,Malfunction,HOSPITAL,UNITED STATES SURICAL CORPORATION
4596,1,,Injury,,"BARD PERIPHERAL VASCULAR, INC."
4597,1,GLUCOSE MONITORING SYS/KIT,No answer provided,NOT APPLICABLE,"LIFESCAN, INC."
4598,1,CTO CATHETER SYSTEMS (DQY),Malfunction,,CORDIS DE MEXICO
4600,1,"STIMULATOR, ELECTRICAL, IMPLANTABLE, FOR INCONTINENCE",Malfunction,,MEDTRONIC MED REL MEDTRONIC PUERTO RICO
4601,1,,Malfunction,OTHER,MAQUET CARDIOVASCULAR
4602,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORPORATION
4603,1,IMPLANTABLE PACEMAKER/CARDIO/DEFIB,Injury,HOSPITAL,"MEDTRONIC MED REL, INC."
4605,1,BLOOD GLUCOSE MONITORING DEVICE - NBW,Malfunction,OTHER,ROCHE DIAGNOSTICS
4606,1,EXTERNAL PULSE GENERATOR,Malfunction,HOSPITAL,MEDTRONIC MILACA INC.
4607,1,"CLIP, IMPLANTABLE",Malfunction,,"ETHICON ENDO-SURGERY, LLC."
4608,1,DEFIBRILLATOR/PACEMAKER,Malfunction,,ZOLL MEDICAL CORPORATION
4609,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORPORATION
4610,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORPORATION
4611,1,GLUCOSE MONITORING SYS/KIT,Malfunction,I,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
4612,1,FLUOROSCOPIC X-RAY,Malfunction,,GE OEC MEDICAL SYSTEMS INC.
4613,1,"WIRE, GUIDE, CATHETER",Malfunction,HOSPITAL,ABBOTT VASCULAR
4615,1,,Injury,,HOYA SURGICAL OPTICS INC.
4616,1,DRUG COATED STENT,Malfunction,,BOSTON SCIENTIFIC CORP.
4618,1,INSULIN INFUSION PUMP,Malfunction,OTHER,DISETRONIC MEDICAL SYSTEMS
4619,1,AUTOMATED EXTERNAL DEFIBRILLATOR,Malfunction,,HEARTSINE TECHNOLOGIES LTD
4620,1,CENTRAL STATION MONITOR,Malfunction,,"MINDRAY DS USA, INC"
4621,1,"CATHETER, ANGIOPLASTY, PERIPHERAL, TRANSLUMINAL",Malfunction,,BOSTON SCIENTIFIC - MAPLE GROVE
4622,1,,Malfunction,OTHER,"ETHICON ENDO-SURGERY, LLC"
4625,1,MDS,Malfunction,,"DEXCOM, INC."
4626,1,FLUOROSCOPIC X-RAY,Malfunction,,GE OEC MEDICAL SYSTEMS (SLC)
4627,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,,"ST. JUDE MEDICAL, INC., CRMD"
4633,1,INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE PTE. LTD.
4637,1,VOLUME VENTILATOR,Malfunction,UNKNOWN,"PULMONETIC SYSTEMS, INC."
4638,1,LOCKING PLATE,Malfunction,,SYNTHES
4641,1,CARDIAC PANEL MARKER,Malfunction,,"ALERE SAN DIEGO, INC."
4642,1,NON-ABSORBABLE SUTURE PRODUCT,Injury,,SANTO DOMINGO - USS
4643,1,SCS LEAD ANCHOR,Injury,,ST. JUDE MEDICAL - NEUROMODULATION
4644,1,GDO,Malfunction,NOT APPLICABLE,"ETHICON ENDO-SURGERY, INC.(CINCINNATI)"
4645,1,MONOFOCAL IOLS,Malfunction,,ABBOTT MEDICAL OPTICS
4646,1,PERCUTANEOUS CATHETER,Malfunction,,"PENUMBRA, INC."
4648,1,GLUCOSE MONITORING SYS/KIT,Malfunction,,"LIFESCAN EUROPE, A DIVISION OF CILAG GMBH INTL"
4649,1,HIP INSTRUMENT/TRIAL,Malfunction,I,"DEPUY ORTHOPAEDICS, INC."
4650,1,80FRN,Malfunction,,"HOSPIRA, INC."
4651,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORPORATION
4653,1,ANESTHESIA SYSTEM,Malfunction,HOSPITAL,SIEMENS-ELEMA AB LIFE SUPPORT SYSTEMS DIV
4654,1,INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE CORP
4655,1,IMPLANTABLE LEAD,Malfunction,HOSPITAL,"CARDIAC PACEMAKERS, INC"
4657,1,PERMANENT PACEMAKER ELECTRODE,Malfunction,HOSPITAL,"ST. JUDE MEDICAL, CRMD"
4658,1,INFUSION PUMP,Malfunction,,MINIMED INC.
4659,1,"PUMP, INFUSION, IMPLANTED, PROGRAMMABLE",Malfunction,,MDT PUERTO RICO OPERATIONS CO
4661,1,CATHETER,Injury,INVALID DATA,STRATO MED. CORP.
4663,1,TROCAR,Malfunction,HOSPITAL,U.S. SURGICAL CORP
4665,1,INSULIN INFUSION PUMP,Malfunction,,ANIMAS CORPORATION
4666,1,PHACOFRAGMENTATION,Injury,,ALCON - IRVINE TECHNOLOGY CTR
4668,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC PUERTO RICO OPERATIONS CO.
4669,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Death,OTHER,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
4671,1,BLOOD GLUCOSE MONITORING TEST STRIPS -LFR,Malfunction,OTHER,ROCHE DIAGNOSTICS
4672,1,MDS,Malfunction,,"DEXCOM, INC."
4673,1,LAPAROSCOPIC ELECTROSURGICAL DEVICE,Malfunction,,"ENCISION, INC."
4676,1,"PUMP, INFUSION",Malfunction,,BAXTER HEALTHCARE - IRVINE
4677,1,IMPLANTABLE CARDIOVERTER DEFIBRILLATOR,Malfunction,HOSPITAL,CARDIAC PACEMAKERS
4678,1,INTRAVASCULAR CATHETER,Malfunction,OTHER,TERUMO MEDICAL CORPORATION
4680,1,MEMBRANE OXYGENATOR,Malfunction,HOSPITAL,BARD VASCULAR SYSTEM
4681,1,"CLIP, IMPLANTABLE",Malfunction,,"ETHICON ENDO SURGERY, INC (CINCINNATI)"
4682,1,LINEAR CUTTERS - CONVENTIONAL,Malfunction,NOT APPLICABLE,"ETHICON ENDO-SURGERY, INC."
4683,1,EXTERNAL PULSE GENERATOR,Injury,HOSPITAL,"MEDTRONIC, INC."
4684,1,IMPLANTABLE CHF GENERATOR,Malfunction,HOSPITAL,"CARDIAC PACEMAKERS, INC"
4686,1,CORONARY DILATATION CATHETER,Injury,HOSPITAL,GUIDANT
4687,1,,Injury,,CPI - DEL CARIBE
4688,1,DEFIBRILLATION LEAD,Injury,,"ST. JUDE MEDICAL, INC., CRMD"
4689,1,DEFIBRILLATION LEAD,Malfunction,HOSPITAL,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
4693,1,INFUSION PUMP,Malfunction,,BAXTER HEALTHCARE CORP
4696,1,DISPOSABLE SURGICAL STAPLER,Malfunction,HOSPITAL,UNITED STATES SURGICAL CORP.
4697,1,"PUMP, INFUSION",Malfunction,,BAXTER HEALTHCARE - SINGAPORE
4698,1,HTW,Injury,I,ZIMMER INC
4699,1,CLIP APPLIER,Malfunction,NOT APPLICABLE,ETHICON ENDO-SURGERY - ALB
4700,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER, WITH CARDIAC RESYNCHRONIZATIO",Malfunction,,IPG MFG SWITZERLAND
4701,1,PERMANENT PACEMAKER ELECTRODE,Injury,HOSPITAL,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
4702,1,FLUOROSCOPIC X-RAY,Malfunction,,GE OEC MEDICAL SYSTEMS INC.
4705,1,PERMANENT PACEMAKER ELECTRODE,Malfunction,OTHER,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
4706,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,"ABBOTT DIABETES CARE INC, USA"
4708,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER",Malfunction,,MPRI
4709,1,INSULIN INFUSION PUMP,Malfunction,I,ANIMAS CORPORATION
4710,1,IRON MAN GUIDE WIRE,Death,HOSPITAL,ABBOTT VASCULAR
4711,1,ELECTROSURGICAL CUTTING AND COAGULATION,Malfunction,,ARTHROCARE CORP
4712,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC PUERTO RICO OPERATIONS CO.
4713,1,INSTRUMENT,Malfunction,,STRYKER ORTHOPAEDICS-MAHWAH
4714,1,SCS LEAD,Injury,,ST. JUDE MEDICAL - NEUROMODULATION
4715,1,"DRILLS, BURRS, TREPHINES & ACCESSORIES - ATTACHMENT",Malfunction,,DEPUY SYNTHES POWER TOOLS
4716,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,I,MEDTRONIC PUERTO RICO OPERATIONS CO.
4720,1,INTERLINK EXTENSION SETS,Malfunction,,BAXTER HEALTHCARE CORP.
4721,1,"STRETCHER, WHEELED",Malfunction,,STRYKER MEDICAL-KALAMAZOO
4722,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC PUERTO RICO OPERATIONS CO.
4723,1,"MOTOR, SURGICAL INSTRUMENT, AC-POWERED",Malfunction,I,SYNTHES OBERDORF
4724,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Injury,,MEDTRONIC PUERTO RICO OPERATIONS CO.
4725,1,TOTAL CARE,Malfunction,HOSPITAL,"HILL-ROM, INC."
4726,1,890.3100,No answer provided,,DANYANG MAXTHAI MEDICAL EQUIPMENT
4727,1,IMPLANTABLE LEAD,Injury,OUTPATIENT TREATMENT FACILITY,CPI - DEL CARIBE
4728,1,INSULIN INFUSION PUMP / SENSOR AUGMENTED,Malfunction,,MEDTRONIC PUERTO RICO OPERATIONS CO.
4729,1,INTRA-AORTIC BALLOON CATHETER (IAB),Malfunction,INVALID DATA,DATASCOPE
4730,1,INTRAOCULAR LENS,Malfunction,I,BAUSCH & LOMB INCORPORATED
4731,1,MDS,Malfunction,I,"DEXCOM, INC."
4732,1,BLOOD GLUCOSE MONITORING SYSTEM,Malfunction,,
4733,1,"SYSTEM, PERITONEAL, AUTOMATIC DELIVERY",Malfunction,,BAXTER HEALTHCARE
4734,1,INTRAOCULAR LENS,Malfunction,,STAAR SURGICAL
4735,1,INTRA-AORTIC BALLOON CATHETER,Malfunction,HOSPITAL,DATASCOPE CORP.
4736,1,"DEFIBRILLATOR, AUTOMATIC IMPLANTABLE CARDIOVERTER",Injury,,MPRI
4737,1,TESIO CATHETER,Injury,OUTPATIENT TREATMENT FACILITY,MED COMP
4738,1,IMPLANT,Malfunction,,STRYKER ORTHOPAEDICS-MAHWAH
4739,1,,Malfunction,,STRYKER INSTRUMENTS KALAMAZOO
4740,1,POWER SUPPLY (FIXED HEADS ),Malfunction,I,Q CORE MEDICAL LTD.
4741,1,INTRAOCULAR LENS,Malfunction,,STAAR SURGICAL CO.
4743,1,ENDOSCOPIC INSTRUMENT,Malfunction,HOSPITAL,"INTUITIVE SURGICAL,INC."
4744,1,IMPLANTABLE LEAD,Injury,,CPI - DEL CARIBE
